transaction_id,amount,datetime,created_at,modified_at,description,tags
2025-05-25-76,808,2025-01-06 22:27:45,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-张艺翰 Forward.,__INCOME_OTHERS__|__INCOME__
2025-05-25-118,880,2025-01-29 00:03:59,2025-05-22 23:35:07,2025-05-22 23:35:07,微信红包-谭岳 N1ce：）,__INCOME__|__INCOME_HONGBAO__
2025-05-25-228,35800,2025-01-23 18:54:17,2025-05-22 23:35:07,2025-05-22 23:35:07,香丰渔港蒸汽海鲜·川湘菜-美团,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-219,4100,2025-03-27 11:40:52,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-张祖豪 misteln,__INCOME_OTHERS__|__INCOME__
2025-05-25-243,3130,2025-04-21 04:12:33,2025-05-22 23:35:07,2025-05-22 23:35:07,南京大牌档(望京凯德店),__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-252,3380,2025-04-15 13:23:28,2025-05-22 23:35:07,2025-05-22 23:35:07,云海肴·汽锅鸡(五道口购物中心店),__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-5,2780,2025-04-08 11:53:14,2025-05-22 23:35:07,2025-05-22 23:35:07,谷米·中华牛肉瓦锅饭·五道口店(第3号档口吉祥厨房美食城店),__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-240,800,2025-02-24 23:25:22,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-谭岳 N1ce：）,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-247,2188,2025-04-23 16:32:30,2025-05-22 23:35:07,2025-05-22 23:35:07,多点 DMALL-订单：881747398701,__EXPENSE__|__EXPENSE_NECESSARY__
2025-05-25-50,1,2025-04-20 12:25:49,2025-05-22 23:35:07,2025-05-22 23:35:07,喜茶（北京望京万象汇店）,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-86,1100,2025-01-03 15:43:58,2025-05-22 23:35:07,2025-05-22 23:35:07,虎头军煎饼(北邮店)-订单,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-98,14900,2025-01-03 02:28:48,2025-05-22 23:35:07,2025-05-22 23:35:07,转账-金岩 落羽尘音,__INCOME_OTHERS__|__INCOME__
2025-05-25-26,914,2025-01-06 22:28:40,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-张祖豪 misteln,__INCOME_OTHERS__|__INCOME__
2025-05-25-223,15000,2025-05-02 17:59:41,2025-05-22 23:35:07,2025-05-22 23:35:07,KLOOK客路旅行-东武铁道日光周游券 Nikko Pass,__EXPENSE__|__EXPENSE_TRAVEL__
2025-05-25-250,15960,2025-04-26 12:57:23,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-黄子睿 Shine,__INCOME_OTHERS__|__INCOME__
2025-05-25-114,2881,2025-04-17 12:46:04,2025-05-22 23:35:07,2025-05-22 23:35:07,鹿港小镇(枫蓝店),__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-84,1110,2025-02-25 01:28:11,2025-05-22 23:35:07,2025-05-22 23:35:07,麦当劳,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-88,767,2025-01-29 00:04:28,2025-05-22 23:35:07,2025-05-22 23:35:07,微信红包-施政言 Aries,__INCOME__|__INCOME_HONGBAO__
2025-05-25-125,991,2025-01-01 17:11:12,2025-05-22 23:35:07,2025-05-22 23:35:07,原始鲜屿(西直门店)-美团,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-7,33900,2025-03-24 16:47:25,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-王梓屹 小鱼,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-187,2000,2025-01-26 22:35:15,2025-05-22 23:35:07,2025-05-22 23:35:07,转账-白天宇 白玖,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-232,2500,2025-04-01 12:18:59,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-王梓屹 小鱼,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-211,739,2025-04-26 20:51:44,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-谭岳 N1ce：）,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-238,2590,2025-01-01 16:23:27,2025-05-22 23:35:07,2025-05-22 23:35:07,吉野家(新街口外大街)-美团,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-33,2550,2025-02-21 14:30:28,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-LINLEE林里·手打柠檬茶（朝阳融新科技中心店）,__EXPENSE__|__EXPENSE_SNACK__
2025-05-25-133,500,2025-01-11 16:25:17,2025-05-22 23:35:07,2025-05-22 23:35:07,考拉智能-先购后付,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-3,63200,2025-02-28 18:58:20,2025-05-22 23:35:07,2025-05-22 23:35:07,戈拿旺巴西烤肉-美团收银,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-117,100000,2025-01-23 09:17:28,2025-05-22 23:35:07,2025-05-22 23:35:07,转账-戴析宇-生日快乐🎁🎊🎈🎂🎊,__INCOME_OTHERS__|__INCOME__
2025-05-25-70,2588,2025-01-08 10:06:44,2025-05-22 23:35:07,2025-05-22 23:35:07,永兴楼牛羊肉泡馍馆·小炒（西直门01号店）-美团,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-128,1440,2025-04-24 18:54:08,2025-05-22 23:35:07,2025-05-22 23:35:07,华莱士·全鸡汉堡（师范大学店）,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-39,291,2025-01-29 00:11:07,2025-05-22 23:35:07,2025-05-22 23:35:07,微信红包-张祖豪 misteln,__INCOME__|__INCOME_HONGBAO__
2025-05-25-227,1011,2025-02-12 20:08:01,2025-05-22 23:35:07,2025-05-22 23:35:07,微信红包-12345,__INCOME__|__INCOME_HONGBAO__
2025-05-25-176,2180,2025-02-23 01:01:14,2025-05-22 23:35:07,2025-05-22 23:35:07,麦当劳,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-23,15960,2025-04-26 16:44:02,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-王梓屹 小鱼,__INCOME_OTHERS__|__INCOME__
2025-05-25-115,1625,2025-01-04 19:40:14,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-谭岳 N1ce：）,__INCOME_OTHERS__|__INCOME__
2025-05-25-190,3220,2025-04-10 12:13:46,2025-05-22 23:35:07,2025-05-22 23:35:07,嘎嘎香东北老饭盒（中关村店）,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-220,2488,2025-02-07 12:47:09,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-鸡柳大人（第16档口康芝美食城店）,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-59,78600,2025-03-24 16:28:09,2025-05-22 23:35:07,2025-05-22 23:35:07,携程-沈阳沈阳站希尔顿欢朋酒店,__EXPENSE__|__EXPENSE_TRAVEL__
2025-05-25-149,18769,2025-05-01 12:04:36,2025-05-22 23:35:07,2025-05-22 23:35:07,唐吉诃德（ドンキ秋葉原）,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-239,3200,2025-04-22 13:24:54,2025-05-22 23:35:07,2025-05-22 23:35:07,美团跑腿,__EXPENSE__|__EXPENSE_TRANSPORT__
2025-05-25-83,2910,2025-02-13 09:37:47,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-吉野家(创瑞街保利广场店),__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-156,1680,2025-02-15 11:13:04,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-美团订单,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-157,1260,2025-02-24 01:45:08,2025-05-22 23:35:07,2025-05-22 23:35:07,麦当劳,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-92,945,2025-02-11 13:45:26,2025-05-22 23:35:07,2025-05-22 23:35:07,丰e足食智慧零售-先购后付,__EXPENSE__|__EXPENSE_SNACK__
2025-05-25-218,1380,2025-01-14 01:25:05,2025-05-22 23:35:07,2025-05-22 23:35:07,敞天锅猛火蛋炒饭（第2档口-二九拾捌美食城店）-美团,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-203,2000,2025-01-07 11:25:32,2025-05-22 23:35:07,2025-05-22 23:35:07,华莱士·全鸡汉堡(北京知春路店)-美团,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-172,7260,2025-01-26 22:36:27,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-李天泽 0v0,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-66,1625,2025-01-03 19:25:34,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-王梓屹 小鱼,__INCOME_OTHERS__|__INCOME__
2025-05-25-147,16829,2025-01-03 02:24:21,2025-05-22 23:35:07,2025-05-22 23:35:07,小黑盒-商品购买,__EXPENSE_ENTERTAINMENT__|__EXPENSE__
2025-05-25-181,10000,2025-05-04 11:34:35,2025-05-22 23:35:07,2025-05-22 23:35:07,微信红包收入：吉慕轩 Lancer,__INCOME__|__INCOME_HONGBAO__
2025-05-25-191,8400,2025-02-23 13:23:24,2025-05-22 23:35:07,2025-05-22 23:35:07,转账-杜奕男 dynandu,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-217,1600,2025-04-21 21:50:14,2025-05-22 23:35:07,2025-05-22 23:35:07,虎头军煎饼(北邮店),__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-234,45,2025-04-23 11:57:27,2025-05-22 23:35:07,2025-05-22 23:35:07,扫二维码付款-韦振,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-97,16992,2025-02-01 17:05:03,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-猛古里烤肉自助,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-67,9966,2025-05-04 09:10:26,2025-05-22 23:35:07,2025-05-22 23:35:07,サンシャインシティ（SUNSHINECITY）,__EXPENSE_ENTERTAINMENT__|__EXPENSE__
2025-05-25-144,590,2025-04-01 07:31:33,2025-05-22 23:35:07,2025-05-22 23:35:07,多点 DMALL-订单：874877211601,__EXPENSE__|__EXPENSE_NECESSARY__
2025-05-25-74,17900,2025-04-03 10:45:39,2025-05-22 23:35:07,2025-05-22 23:35:07,元气汤泉(世纪路店),__EXPENSE_ENTERTAINMENT__|__EXPENSE__
2025-05-25-175,56700,2025-01-22 17:09:25,2025-05-22 23:35:07,2025-05-22 23:35:07,bluefrog蓝蛙-大众点评,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-34,10000,2025-04-13 21:34:34,2025-05-22 23:35:07,2025-05-22 23:35:07,转账-12345,__INCOME_OTHERS__|__INCOME__
2025-05-25-61,236,2025-01-29 00:09:04,2025-05-22 23:35:07,2025-05-22 23:35:07,微信红包-IYE 王英韬,__INCOME__|__INCOME_HONGBAO__
2025-05-25-13,153,2025-02-22 20:09:25,2025-05-22 23:35:07,2025-05-22 23:35:07,美团平台商户-退款,__INCOME_OTHERS__|__INCOME__
2025-05-25-79,50000,2025-01-10 21:05:42,2025-05-22 23:35:07,2025-05-22 23:35:07,转账-12345,__INCOME_OTHERS__|__INCOME__
2025-05-25-123,1625,2025-01-04 16:09:14,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-王李傲 Frieren,__INCOME_OTHERS__|__INCOME__
2025-05-25-165,30000,2025-05-01 12:26:34,2025-05-22 23:35:07,2025-05-22 23:35:07,转账收入：刘佳 lyooooujyaVE,__INCOME_OTHERS__|__INCOME__
2025-05-25-113,2679,2025-03-24 14:32:52,2025-05-22 23:35:07,2025-05-22 23:35:07,多点 DMALL-订单：872626247501,__EXPENSE__|__EXPENSE_NECESSARY__
2025-05-25-192,2850,2025-02-26 10:30:33,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-犟骨头排骨饭（北邮店）,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-116,3100,2025-04-21 04:11:07,2025-05-22 23:35:07,2025-05-22 23:35:07,美团平台商户-退款,__INCOME_OTHERS__|__INCOME__
2025-05-25-131,19200,2025-04-01 18:42:26,2025-05-22 23:35:07,2025-05-22 23:35:07,沈阳金师傅味家餐饮有限公司-味家烤肉三部,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-15,1640,2025-03-24 21:06:43,2025-05-22 23:35:07,2025-05-22 23:35:07,多点 DMALL-订单：872768578201,__EXPENSE__|__EXPENSE_NECESSARY__
2025-05-25-100,3351,2025-05-01 14:09:04,2025-05-22 23:35:07,2025-05-22 23:35:07,株式会社ケイ・ブックス（K-BOOKS　秋葉原本館）,__EXPENSE_ENTERTAINMENT__|__EXPENSE__
2025-05-25-91,7000,2025-01-23 18:11:00,2025-05-22 23:35:07,2025-05-22 23:35:07,小屋电玩北京旗舰店(麒麟社店)-二维码收款,__EXPENSE_ENTERTAINMENT__|__EXPENSE__
2025-05-25-127,4651,2025-02-11 20:22:33,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-DQ.蛋糕.冰淇淋（合生汇店）,__EXPENSE__|__EXPENSE_SNACK__
2025-05-25-231,2330,2025-02-24 10:54:05,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-吉野家(新街口外大街),__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-199,2000,2025-02-09 22:41:05,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-喜茶（北京望京万象汇店）,__EXPENSE__|__EXPENSE_SNACK__
2025-05-25-102,1000,2025-04-02 12:55:51,2025-05-22 23:35:07,2025-05-22 23:35:07,扫二维码付款-马迭尔冰棍,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-130,1200,2025-04-22 21:27:51,2025-05-22 23:35:07,2025-05-22 23:35:07,茉酸奶（北京海淀师范大学店）,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-95,12767,2025-04-02 19:11:52,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-杜奕男 dynandu,__INCOME_OTHERS__|__INCOME__
2025-05-25-206,48000,2025-04-11 16:09:03,2025-05-22 23:35:07,2025-05-22 23:35:07,北京祥瑞顺畅餐饮管理有限公司宏源河边涮肉,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-42,370,2025-01-03 19:24:07,2025-05-22 23:35:07,2025-05-23 16:01:57,K22.酸奶草莓（北京西直门凯德L2店）-美团,__EXPENSE__|__EXPENSE_SNACK__
2025-05-25-69,12000,2025-01-14 15:04:37,2025-05-22 23:35:07,2025-05-22 23:35:07,转账-王梓屹 小鱼,__INCOME_OTHERS__|__INCOME__
2025-05-25-213,5265,2025-02-24 16:58:46,2025-05-22 23:35:07,2025-05-22 23:35:07,京东商城平台商户-京东订单,__EXPENSE__|__EXPENSE_NECESSARY__
2025-05-25-142,2258,2025-01-28 20:47:28,2025-05-22 23:35:07,2025-05-22 23:35:07,微信红包-12345,__INCOME__|__INCOME_HONGBAO__
2025-05-25-150,2940,2025-04-14 09:59:35,2025-05-22 23:35:07,2025-05-22 23:35:07,靠谱儿牛肉饭（安贞店）,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-212,22300,2025-04-03 16:42:52,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-谭岳 N1ce：）,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-143,15800,2025-02-28 20:16:21,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-杜奕男 dynandu,__INCOME_OTHERS__|__INCOME__
2025-05-25-193,800,2025-04-08 20:02:52,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-王李傲 Frieren,__EXPENSE__|__EXPENSE_OTHERS__
2025-05-25-124,2050,2025-02-14 09:25:31,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-抖喜新疆炒米粉(来广营店),__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-37,1600,2025-04-18 11:50:07,2025-05-22 23:35:07,2025-05-22 23:35:07,北京邮电大学-餐费支出,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-244,2168,2025-05-07 11:27:22,2025-05-22 23:35:07,2025-05-22 23:35:07,美团-奉天·熏六记熏拌鸡架（第二档口庆余年美食城店）,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-257,19650,2025-03-24 16:32:07,2025-05-22 23:35:07,2025-05-22 23:35:07,群收款-杜奕男 dynandu,__INCOME_OTHERS__|__INCOME__
2025-05-25-9,2000,2025-01-31 10:28:21,2025-05-22 23:35:07,2025-05-22 23:35:07,闪电泡芙-美团收银,__EXPENSE__|__EXPENSE_FOOD__
2025-05-25-205,1840,2025-04-14 14:38:45,2025-05-22 23:35:07,2025-05-22 23:35:07,多点 DMALL-订单：879054264001,__EXPENSE__|__EXPENSE_NECESSARY__
2025-05-25-135,2207,2025-01-29 00:10:45,2025-05-22 23:35:07,2025-05-22 23:35:07,微信红包-刘邓 need little want less,__INCOME__|__INCOME_HONGBAO__
