transaction_id,amount,datetime,created_at,modified_at,description,tags
2025-05-24-281,3880,2025-05-08 12:43:10,2025-05-24 15:56:17,2025-05-24 15:56:17,"晋河食品（北京）有限公司",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-267,1200,2025-05-06 18:29:40,2025-05-24 15:56:17,2025-05-24 15:56:17,"风味餐厅3_餐费支出",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-269,500,2025-05-10 21:51:19,2025-05-24 13:41:12,2025-05-24 13:41:12,"先购后付",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-287,6744,2025-05-01 10:29:36,2025-05-24 15:56:17,2025-05-24 15:56:17,"ビックカメラAKIBA",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-289,18321,2025-05-04 09:18:34,2025-05-24 15:56:17,2025-05-24 15:56:17,"サンシャインシティキデイランド／スヌーピータウンシ",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-284,15082,2025-05-01 12:22:29,2025-05-24 15:56:17,2025-05-24 15:56:17,"ドンキ秋葉原",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-280,18769,2025-05-01 12:04:36,2025-05-24 15:56:17,2025-05-24 15:56:17,"ドンキ秋葉原",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-276,10000,2025-05-04 11:34:35,2025-05-24 15:56:17,2025-05-24 15:56:17,"/",__INCOME_OTHERS__|__INCOME__|WECHAT
2025-05-24-264,1490,2025-05-05 15:02:29,2025-05-24 15:56:17,2025-05-24 15:56:17,"奈喜乐·分子果汁（望京店）-美团App-25050511100300001305653675461512",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-268,739,2025-05-08 18:21:04,2025-05-24 15:56:17,2025-05-24 15:56:17,"/",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-285,500,2025-05-06 20:20:06,2025-05-24 15:56:17,2025-05-24 15:56:17,"转账备注:微信转账",__INCOME_OTHERS__|__INCOME__|WECHAT
2025-05-24-274,30000,2025-05-01 12:26:34,2025-05-24 15:56:17,2025-05-24 15:56:17,"转账备注:微信转账",__INCOME_OTHERS__|__INCOME__|WECHAT
2025-05-24-288,9966,2025-05-04 09:10:26,2025-05-24 15:56:17,2025-05-24 15:56:17,"ＳＵＮＳＨＩＮＥＣＩＴＹ",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-271,15000,2025-05-02 17:59:41,2025-05-24 15:56:17,2025-05-24 15:56:17,"东武铁道日光周游券 Nikko Pass",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-272,2319,2025-05-08 12:08:13,2025-05-24 15:56:17,2025-05-24 15:56:17,"京东-订单编号313991962608",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-282,3351,2025-05-01 14:09:04,2025-05-24 15:56:17,2025-05-24 15:56:17,"K-BOOKS　秋葉原本館",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-275,5130,2025-05-09 19:56:09,2025-05-24 15:56:17,2025-05-24 15:56:17,"DQ.蛋糕.冰淇淋（望京凯德店）-美团App-25050911100300001306466685022512",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-273,2200,2025-05-07 12:25:26,2025-05-24 15:56:17,2025-05-24 15:56:17,"转账备注:微信转账",__INCOME_OTHERS__|__INCOME__|WECHAT
2025-05-24-277,6810,2025-05-06 19:43:17,2025-05-24 15:56:17,2025-05-24 15:56:17,"美团订单-25050611100300001305889604413512",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-278,600,2025-05-10 03:17:16,2025-05-24 15:56:17,2025-05-24 15:56:17,"apple.com/bill/MMWGFGQHWLa0",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-283,500,2025-05-10 21:51:19,2025-05-24 15:56:17,2025-05-24 15:56:17,"先购后付",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-286,500,2025-05-06 20:16:47,2025-05-24 15:56:17,2025-05-24 15:56:17,"转账备注:微信转账",__INCOME_OTHERS__|__INCOME__|WECHAT
2025-05-24-279,10000,2025-05-24 15:53:25,2025-05-24 15:53:41,2025-05-24 15:53:41,4,__EXPENSE__|__EXPENSE_MAKEUP__
2025-05-24-266,15000,2025-05-02 17:59:41,2025-05-24 13:41:12,2025-05-24 13:41:12,"东武铁道日光周游券 Nikko Pass",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-270,7500,2025-05-01 12:27:10,2025-05-24 15:56:17,2025-05-24 15:56:17,"转账备注:退税到账了",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
2025-05-24-265,2168,2025-05-07 11:27:22,2025-05-24 15:56:17,2025-05-24 15:56:17,"奉天·熏六记熏拌鸡架（第二档口庆余年美食城店）-美团App-25050711100300001305971210960512",__EXPENSE__|__EXPENSE_OTHERS__|WECHAT
