transaction_id,amount,datetime,created_at,modified_at,description,tags
20250316-38,3280,2025-02-21 12:05:00,2025-03-16 03:53:58,2025-03-16 03:53:58,"汉堡王（诚盈中心22174店）-美团App-25022111100300001302191419388512",WECHAT|支出
20250325-57,234,2025-03-25 15:22:13,2025-03-25 15:22:17,2025-03-25 15:22:17,221,收入
20250316-42,2050,2025-02-14 09:25:31,2025-03-16 03:53:58,2025-03-16 03:53:58,"抖喜新疆炒米粉(来广营店)-美团App-25021411100300001300940491155512",WECHAT|支出
20250316-28,8400,2025-02-23 13:23:24,2025-03-16 03:53:58,2025-03-16 03:53:58,"转账备注:微信转账",WECHAT|支出
20250316-44,1011,2025-02-12 20:08:01,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",收入|WECHAT
20250316-18,1445,2025-02-26 00:52:07,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",WECHAT|支出
20250316-24,5265,2025-02-24 16:58:46,2025-03-16 03:53:58,2025-03-16 03:53:58,"京东-订单编号310081082942",WECHAT|支出
20250316-5,15800,2025-02-28 20:16:21,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",收入|WECHAT
20250316-14,1050,2025-02-27 03:24:27,2025-03-16 03:53:58,2025-03-16 03:53:58,"麦当劳",WECHAT|支出
20250316-21,1110,2025-02-25 01:28:11,2025-03-16 03:53:58,2025-03-16 03:53:58,"麦当劳",WECHAT|支出
20250316-47,945,2025-02-11 13:45:26,2025-03-16 03:53:58,2025-03-16 03:53:58,"先购后付",WECHAT|支出
20250316-46,15600,2025-02-11 17:11:46,2025-03-16 03:53:58,2025-03-16 03:53:58,"T.I推理空间·剧本杀（朝阳店）-美团App-25021111100300001300518964564512",WECHAT|支出
20250316-45,4651,2025-02-11 20:22:33,2025-03-16 03:53:58,2025-03-16 03:53:58,"DQ.蛋糕.冰淇淋（合生汇店）-美团App-25021111100300001300565467176512",WECHAT|支出
20250316-22,800,2025-02-24 23:25:22,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",WECHAT|支出
20250316-33,2480,2025-02-22 18:53:30,2025-03-16 03:53:58,2025-03-16 03:53:58,"稻川岛滑蛋饭（第B1档口-橘猫精选美食城店）-美团App-25022211100300001302478026457512",WECHAT|支出
20250316-27,2440,2025-02-23 17:29:12,2025-03-16 03:53:58,2025-03-16 03:53:58,"麦当劳",WECHAT|支出
20250316-25,2330,2025-02-24 10:54:05,2025-03-16 03:53:58,2025-03-16 03:53:58,"吉野家(新街口外大街)-美团App-25022411100300001302752642242512",WECHAT|支出
20250316-53,5190,2025-02-05 19:45:14,2025-03-16 03:53:58,2025-03-16 03:53:58,"blue frog蓝蛙(北京望京万象汇店)-美团App-25020511100300001309471189672512",WECHAT|支出
20250316-51,1200,2025-02-08 18:55:32,2025-03-16 03:53:58,2025-03-16 03:53:58,"麦当劳",WECHAT|支出
20250316-15,2851,2025-02-26 16:16:43,2025-03-16 03:53:58,2025-03-16 03:53:58,"新辣道鱼火锅（交通大学店）-美团App-25022611100300001303126429856512",WECHAT|支出
20250316-26,1260,2025-02-24 01:45:08,2025-03-16 03:53:58,2025-03-16 03:53:58,"麦当劳",WECHAT|支出
20250316-49,0,2025-02-10 04:17:12,2025-03-16 03:53:58,2025-03-16 03:53:58,"查询购买记录：reportaproblem.apple.com,WECHAT
20250325-56,293,2025-03-25 15:19:11,2025-03-25 15:19:19,2025-03-25 15:19:19,文身,收入
20250316-34,400000,2025-02-22 16:41:10,2025-03-16 03:53:58,2025-03-16 03:53:58,"转账备注:微信转账",收入|WECHAT
20250316-31,153,2025-02-22 20:09:25,2025-03-16 03:53:58,2025-03-16 03:53:58,"美团平台商户",收入|WECHAT
20250316-35,5198,2025-02-22 15:23:26,2025-03-16 03:53:58,2025-03-16 03:53:58,"京东-订单编号310612569093",WECHAT|支出
20250316-30,2180,2025-02-23 01:01:14,2025-03-16 03:53:58,2025-03-16 03:53:58,"麦当劳",WECHAT|支出
20250316-17,2850,2025-02-26 10:30:33,2025-03-16 03:53:58,2025-03-16 03:53:58,"犟骨头排骨饭（北邮店）-美团App-25022611100300001303064519285512",WECHAT|支出
20250325-58,323,2025-03-25 15:25:31,2025-03-25 15:25:34,2025-03-25 15:25:34,1313,收入
20250316-36,2990,2025-02-21 19:02:51,2025-03-16 03:53:58,2025-03-16 03:53:58,"KFC_PREWX10012468144606540136637",WECHAT|支出
20250316-55,2760,2025-02-05 11:27:36,2025-03-16 03:53:58,2025-03-16 03:53:58,"食其家·牛丼咖喱（北京望京新世界店）-美团App-25020511100300001309374648176512",WECHAT|支出
20250316-54,4840,2025-02-05 16:00:18,2025-03-16 03:53:58,2025-03-16 03:53:58,"DQ.蛋糕.冰淇淋（望京凯德店）-美团App-25020511100300001309430324349512",WECHAT|支出
20250316-23,2730,2025-02-24 17:08:38,2025-03-16 03:53:58,2025-03-16 03:53:58,"柳记港式烧腊（第11档口-尚品食佳美食城店）-美团App-25022411100300001302819006366512",WECHAT|支出
20250325-55,20938,2025-03-25 15:18:40,2025-03-25 15:18:49,2025-03-25 15:18:49,玩原神,收入
20250316-6,15800,2025-02-28 18:59:17,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",收入|WECHAT
20250316-50,2000,2025-02-09 22:41:05,2025-03-16 03:53:58,2025-03-16 03:53:58,"喜茶（北京望京万象汇店）-美团App-25020911100300001300230136228512",WECHAT|支出
20250316-9,2820,2025-02-28 10:23:34,2025-03-16 03:53:58,2025-03-16 03:53:58,"TRIPS BURGER（富市康民美食城第十六档口店）-美团App-25022811100300001303375158242512",WECHAT|支出
20250316-4,2890,2025-03-03 11:07:58,2025-03-16 03:53:58,2025-03-16 03:53:58,"豪七港式烧腊（健德门店）-美团App-25030311100300001303936225885512",WECHAT|支出
20250316-41,1680,2025-02-15 11:13:04,2025-03-16 03:53:58,2025-03-16 03:53:58,"美团订单-25021411100300001300957737671512",WECHAT|支出
20250316-12,2240,2025-02-27 16:29:07,2025-03-16 03:53:58,2025-03-16 03:53:58,"订单：865360766401",WECHAT|支出
20250316-16,25800,2025-02-26 13:46:09,2025-03-16 03:53:58,2025-03-16 03:53:58,"日本个人旅游签证3个月单次北京送签简化办理代做机酒材料免资产全电子材料免邮寄适用于指",WECHAT|支出
20250316-39,2500,2025-02-17 11:44:41,2025-03-16 03:53:58,2025-03-16 03:53:58,"老广烧腊（望京店）-美团App-25021711100300001301540768835512",WECHAT|支出
20250316-8,63200,2025-02-28 18:58:20,2025-03-16 03:53:58,2025-03-16 03:53:58,"美团收银909700197919191996",WECHAT|支出
20250316-37,2550,2025-02-21 14:30:28,2025-03-16 03:53:58,2025-03-16 03:53:58,"LINLEE林里·手打柠檬茶（朝阳融新科技中心店）-美团App-25022111100300001302218465869512",WECHAT|支出
20250316-40,4900,2025-02-15 22:08:48,2025-03-16 03:53:58,2025-03-16 03:53:58,"北京新影联华谊兄弟影院 卖品",WECHAT|支出
20250316-32,3870,2025-02-22 20:01:55,2025-03-16 03:53:58,2025-03-16 03:53:58,"美团订单-25022211100300001302496860517512",WECHAT|支出
20250316-2,10125,2025-03-03 18:39:20,2025-03-16 03:53:58,2025-03-16 03:53:58,"京东-订单编号311051288070",WECHAT|支出
20250316-11,2976,2025-02-27 17:13:04,2025-03-16 03:53:58,2025-03-16 03:53:58,"朴正喜韩式炸鸡·火鸡面（西直门店）-美团App-25022711100300001303289325376512",WECHAT|支出
20250316-13,990,2025-02-27 16:26:38,2025-03-16 03:53:58,2025-03-16 03:53:58,"订单付款",WECHAT|支出
20250316-1,258,2025-03-03 20:37:32,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",WECHAT|支出
20250316-7,15800,2025-02-28 18:59:12,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",收入|WECHAT
20250316-29,19602,2025-02-23 01:45:31,2025-03-16 03:53:58,2025-03-16 03:53:58,"京东-订单编号309928919220",WECHAT|支出
20250316-48,2020,2025-02-10 11:19:18,2025-03-16 03:53:58,2025-03-16 03:53:58,"谢尔比PeriPeri葡式烤鸡(望京店）-美团App-25021011100300001300272780110512",WECHAT|支出
20250325-59,777777,2025-03-25 22:26:50,2025-03-25 22:26:57,2025-03-25 22:26:57,1111111111111111111111,收入
20250316-52,2488,2025-02-07 12:47:09,2025-03-16 03:53:58,2025-03-16 03:53:58,"鸡柳大人（第16档口康芝美食城店）-美团App-25020711100300001309722925582512",WECHAT|支出
20250316-3,3861,2025-03-03 18:27:52,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",WECHAT|支出
20250316-43,2910,2025-02-13 09:37:47,2025-03-16 03:53:58,2025-03-16 03:53:58,"吉野家(创瑞街保利广场店)-美团App-25021311100300001300774147607512",WECHAT|支出
20250316-20,990,2025-02-25 16:24:01,2025-03-16 03:53:58,2025-03-16 03:53:58,"订单付款",WECHAT|支出
20250316-10,725,2025-02-27 22:44:11,2025-03-16 03:53:58,2025-03-16 03:53:58,"/",WECHAT|支出
20250316-19,500,2025-02-25 20:13:40,2025-03-16 03:53:58,2025-03-16 03:53:58,"转账备注:微信转账",收入|WECHAT
